timestamp,Heat 2nd floor (kWh)
2020-03-03 11:23:12.000000 +00:00,481267.0
2020-03-03 11:10:30.000000 +00:00,481266.0
2020-03-03 10:57:51.000000 +00:00,481264.0
2020-03-03 10:45:15.000000 +00:00,481263.0
2020-03-03 10:32:41.000000 +00:00,481262.0
2020-03-03 10:20:11.000000 +00:00,481261.0
2020-03-03 10:07:44.000000 +00:00,481259.0
2020-03-03 09:55:19.000000 +00:00,481258.0
2020-03-03 09:42:52.000000 +00:00,481255.0
2020-03-03 09:31:56.000000 +00:00,481253.0
2020-03-03 09:17:50.000000 +00:00,481251.0
2020-03-03 09:05:14.000000 +00:00,481249.0
2020-03-03 08:54:10.000000 +00:00,481248.0
2020-03-03 08:39:53.000000 +00:00,481246.0
2020-03-03 08:27:08.000000 +00:00,481244.0
2020-03-03 08:14:21.000000 +00:00,481241.0
2020-03-03 08:01:30.000000 +00:00,481236.0
2020-03-03 07:48:36.000000 +00:00,481232.0
2020-03-03 07:35:39.000000 +00:00,481227.0
2020-03-03 07:22:39.000000 +00:00,481225.0
2020-03-03 07:09:36.000000 +00:00,481223.0
2020-03-03 06:56:31.000000 +00:00,481221.0
2020-03-03 06:43:22.000000 +00:00,481220.0
2020-03-03 06:30:11.000000 +00:00,481217.0
2020-03-03 06:17:01.000000 +00:00,481215.0
2020-03-03 06:03:55.000000 +00:00,481214.0
2020-03-03 05:50:52.000000 +00:00,481212.0
2020-03-03 05:37:52.000000 +00:00,481208.0
2020-03-03 05:24:55.000000 +00:00,481204.0
2020-03-03 05:12:00.000000 +00:00,481202.0
2020-03-03 05:00:45.000000 +00:00,481200.0
2020-03-03 04:46:21.000000 +00:00,481198.0
2020-03-03 04:33:36.000000 +00:00,481196.0
2020-03-03 04:20:53.000000 +00:00,481194.0
2020-03-03 04:08:14.000000 +00:00,481193.0
2020-03-03 03:55:38.000000 +00:00,481191.0
2020-03-03 03:30:35.000000 +00:00,481187.0
2020-03-03 03:18:08.000000 +00:00,481183.0
2020-03-03 03:05:43.000000 +00:00,481180.0
2020-03-03 02:53:16.000000 +00:00,481178.0
2020-03-03 02:40:46.000000 +00:00,481176.0
2020-03-03 02:28:13.000000 +00:00,481174.0
2020-03-03 02:15:37.000000 +00:00,481173.0
2020-03-03 02:02:59.000000 +00:00,481171.0
2020-03-03 01:50:17.000000 +00:00,481169.0
2020-03-03 01:37:32.000000 +00:00,481167.0
2020-03-03 01:24:44.000000 +00:00,481165.0
2020-03-03 01:11:53.000000 +00:00,481161.0
2020-03-03 00:59:00.000000 +00:00,481160.0
2020-03-03 00:33:03.000000 +00:00,481158.0
2020-03-03 00:20:00.000000 +00:00,481156.0
2020-03-03 00:08:33.000000 +00:00,481155.0
2020-03-02 23:53:45.000000 +00:00,481153.0
2020-03-02 23:40:34.000000 +00:00,481151.0
2020-03-02 23:27:25.000000 +00:00,481150.0
